file	start	end	score	x_median_std_pec1	y_median_std_pec1	x_median_drift_pec1	y_median_drift_pec1	x_median_std_pec2	y_median_std_pec2	x_median_drift_pec2	y_median_drift_pec2	x_std	y_std	z_std
C_20230825T060822.000000Z_01	2023-08-25 06:08:22.412645	2023-08-25 06:17:42.932645	47.75	32.39369634104362	60.320219108754316	nan	nan	nan	nan	nan	nan	15912.290390094078	8757.808112700868	1211.5987610606744
C_20230825T062758.000000Z_01	2023-08-25 06:28:20.414772	2023-08-25 06:37:40.934772	1000.75	nan	nan	nan	nan	nan	nan	nan	nan	1998.393502671196	653.2383110335393	275.1307734909661
C_20230825T062758.000000Z_02	2023-08-25 06:42:58.416328	2023-08-25 06:44:27.936328	4672.55	nan	nan	nan	nan	nan	nan	nan	nan	5557.235542887237	1492.1353719627823	690.2033146427312
C_20230825T064602.000000Z_01	2023-08-25 06:46:02.416656	2023-08-25 06:55:22.936656	6461.64	2.7716512103209365	1.9440733204074392	0.01589666417247513	0.009074557190180986	2.7893982424763735	1.9148088015379527	0.016022962751910237	0.008856485575591315	118.35616215380855	212.33008984818966	268.86708511349525
C_20230825T064602.000000Z_02	2023-08-25 07:00:40.418213	2023-08-25 07:02:09.938213	2117.06	nan	nan	nan	nan	nan	nan	nan	nan	5118.4626911908435	1288.093960299462	425.2146107297943
C_20230825T070344.000000Z_01	2023-08-25 07:03:44.418540	2023-08-25 07:13:04.938540	1475.54	nan	nan	nan	nan	nan	nan	nan	nan	752.9206711872404	433.12724055747697	2569.2445204457886
C_20230825T072126.000000Z_01	2023-08-25 07:21:26.420424	2023-08-25 07:30:46.940424	137.49	nan	nan	nan	nan	nan	nan	nan	nan	14559.893637017363	4157.441776987057	1763.658328745942
C_20230825T074102.000000Z_01	2023-08-25 07:41:24.422551	2023-08-25 07:50:44.942551	2120.49	nan	nan	nan	nan	nan	nan	nan	nan	1982.3667495572945	699.6711580172375	218.86826721323675
C_20230825T074102.000000Z_02	2023-08-25 07:56:02.424108	2023-08-25 07:57:31.944108	2425.98	nan	nan	nan	nan	nan	nan	nan	nan	5611.061057674669	1430.5463188945841	326.4924053001589
C_20230825T075906.000000Z_01	2023-08-25 07:59:06.424435	2023-08-25 08:08:26.944435	1485.12	nan	nan	nan	nan	nan	nan	nan	nan	738.9704297525607	497.0798585777707	506.8154358939335
C_20230825T075906.000000Z_02	2023-08-25 08:13:44.425992	2023-08-25 08:15:13.945992	2471.79	nan	nan	nan	nan	nan	nan	nan	nan	5352.52868978515	1030.8691368492332	162.9013329256223
C_20230825T081648.000000Z_01	2023-08-25 08:16:48.426320	2023-08-25 08:26:08.946320	1110.08	nan	nan	nan	nan	nan	nan	nan	nan	451.8312752139408	246.23343639433952	388.22601327945284
C_20230825T083430.000000Z_01	2023-08-25 08:34:30.428204	2023-08-25 08:43:50.948204	9580.28	nan	nan	nan	nan	nan	nan	nan	nan	120.41387428727859	203.60156448907492	292.00744357904324
C_20230825T085406.000000Z_01	2023-08-25 08:54:28.430329	2023-08-25 09:03:48.950329	1710.25	nan	nan	nan	nan	nan	nan	nan	nan	1962.2413700921643	630.7787812651691	193.9279966979984
C_20230825T085406.000000Z_02	2023-08-25 09:09:06.431888	2023-08-25 09:10:35.951888	9508.3	nan	nan	nan	nan	nan	nan	nan	nan	5672.188594837162	1338.4308952153222	406.527252372014
C_20230825T091210.000000Z_01	2023-08-25 09:12:10.432214	2023-08-25 09:21:30.952214	1290.77	nan	nan	nan	nan	nan	nan	nan	nan	788.6556129379916	399.86070755208584	636.1023750670928
C_20230825T091210.000000Z_02	2023-08-25 09:26:48.433771	2023-08-25 09:28:17.953771	11995.89	nan	nan	nan	nan	nan	nan	nan	nan	5454.464092728697	1175.6093543361771	236.33166665290986
C_20230825T092952.000000Z_01	2023-08-25 09:29:52.434099	2023-08-25 09:39:12.954099	8431.91	nan	nan	nan	nan	nan	nan	nan	nan	385.7946092002265	246.967595987585	697.4721162130369
C_20230825T094734.000000Z_01	2023-08-25 09:47:34.435982	2023-08-25 09:56:54.955982	2149.79	nan	nan	nan	nan	nan	nan	nan	nan	375.8803968988047	626.2951563377534	18090.571237477307
C_20230825T100710.000000Z_01	2023-08-25 10:07:32.438109	2023-08-25 10:16:52.958109	2848.4	1.9537267296836751	6.999372417805759	0.0077978266846221835	0.025505066804662038	nan	nan	nan	nan	1906.308513285092	748.938767522962	217.97465124919145
C_20230825T100710.000000Z_02	2023-08-25 10:22:10.439667	2023-08-25 10:23:39.959667	8195.36	nan	nan	nan	nan	nan	nan	nan	nan	5310.38835019594	1576.0438791312217	334.49480160485604
C_20230825T102514.000000Z_01	2023-08-25 10:25:14.439994	2023-08-25 10:34:34.959994	6345.31	nan	nan	nan	nan	nan	nan	nan	nan	639.8726950042756	260.6350268346701	457.55489847575353
C_20230825T102514.000000Z_02	2023-08-25 10:39:52.441550	2023-08-25 10:41:21.961550	11646.61	nan	nan	nan	nan	nan	nan	nan	nan	5304.410534382509	1049.124062230921	453.8584003028554
C_20230825T104256.000000Z_01	2023-08-25 10:42:56.441878	2023-08-25 10:52:16.961878	1503.43	nan	nan	nan	nan	nan	nan	nan	nan	288.9671360393675	274.55488232427905	664.18009096059
